filenames,20210713-151409,20210713-160536,20210713-202446,20210714-023953,20210714-024731,20210714-025049,20210714-031111,20210714-031825,20210714-095418,20210718-014112,20210718-014612,20210718-015056,20210718-022910,20210718-023252,20210719-020610,20210719-104859,20210719-162019
16080161555_c3000e2f09_o__1024_0__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,2
16080161555_c3000e2f09_o__1024_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1024_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1024_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1024_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1024_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
16080161555_c3000e2f09_o__1024_256__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
16080161555_c3000e2f09_o__1024_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
16080161555_c3000e2f09_o__1024_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__1024_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__1024_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2
16080161555_c3000e2f09_o__1024_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
16080161555_c3000e2f09_o__1024_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
16080161555_c3000e2f09_o__1024_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1024_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1024_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1024_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1280_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
16080161555_c3000e2f09_o__1280_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
16080161555_c3000e2f09_o__1280_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
16080161555_c3000e2f09_o__1280_0__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0
16080161555_c3000e2f09_o__1280_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1280_1024__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__1280_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1280_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1280_256__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
16080161555_c3000e2f09_o__1280_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__1280_256__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,2
16080161555_c3000e2f09_o__1280_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
16080161555_c3000e2f09_o__1280_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__1280_512__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
16080161555_c3000e2f09_o__1280_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
16080161555_c3000e2f09_o__1280_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__1280_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1280_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1280_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1280_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_0__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
16080161555_c3000e2f09_o__1536_0__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
16080161555_c3000e2f09_o__1536_1024__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__1536_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_1024__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
16080161555_c3000e2f09_o__1536_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_768__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__1536_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1536_768__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__1792_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_0__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__1792_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1792_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__256_0__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,0.0,0
16080161555_c3000e2f09_o__256_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,2
16080161555_c3000e2f09_o__256_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__256_0__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,2.0,1
16080161555_c3000e2f09_o__256_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__256_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__256_1024__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__256_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__256_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0
16080161555_c3000e2f09_o__256_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
16080161555_c3000e2f09_o__256_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1
16080161555_c3000e2f09_o__256_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
16080161555_c3000e2f09_o__256_512__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,2
16080161555_c3000e2f09_o__256_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0
16080161555_c3000e2f09_o__256_512__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0
16080161555_c3000e2f09_o__256_512__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,0.0,0
16080161555_c3000e2f09_o__256_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__256_768__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__256_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__256_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__512_0__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,1.0,2
16080161555_c3000e2f09_o__512_0__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1
16080161555_c3000e2f09_o__512_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
16080161555_c3000e2f09_o__512_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
16080161555_c3000e2f09_o__512_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__512_1024__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
16080161555_c3000e2f09_o__512_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__512_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__512_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
16080161555_c3000e2f09_o__512_256__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,1
16080161555_c3000e2f09_o__512_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__512_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
16080161555_c3000e2f09_o__512_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2
16080161555_c3000e2f09_o__512_512__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,2
16080161555_c3000e2f09_o__512_512__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0
16080161555_c3000e2f09_o__512_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
16080161555_c3000e2f09_o__512_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__512_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__512_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__512_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__768_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__768_0__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,1
16080161555_c3000e2f09_o__768_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__768_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
16080161555_c3000e2f09_o__768_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__768_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__768_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__768_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__768_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0
16080161555_c3000e2f09_o__768_256__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0
16080161555_c3000e2f09_o__768_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
16080161555_c3000e2f09_o__768_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__768_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2
16080161555_c3000e2f09_o__768_512__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2.0,0
16080161555_c3000e2f09_o__768_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
16080161555_c3000e2f09_o__768_512__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0
16080161555_c3000e2f09_o__768_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__768_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__768_768__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__768_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__0_0__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
25954208-monarch-butterfly-colony-in-mexico__0_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__0_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__0_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__0_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__0_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__0_256__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
25954208-monarch-butterfly-colony-in-mexico__0_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__256_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__256_0__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
25954208-monarch-butterfly-colony-in-mexico__256_0__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
25954208-monarch-butterfly-colony-in-mexico__256_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__256_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__256_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__256_256__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
25954208-monarch-butterfly-colony-in-mexico__256_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__512_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__512_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__512_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__512_0__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
25954208-monarch-butterfly-colony-in-mexico__512_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__512_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__512_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__512_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__768_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__768_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__768_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__768_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__768_256__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
25954208-monarch-butterfly-colony-in-mexico__768_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__768_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
25954208-monarch-butterfly-colony-in-mexico__768_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_0__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
26362181-monarch-butterfly-colony-in-mexico__0_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_512__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
26362181-monarch-butterfly-colony-in-mexico__0_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_512__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
26362181-monarch-butterfly-colony-in-mexico__0_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_768__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
26362181-monarch-butterfly-colony-in-mexico__0_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__0_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_0__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
26362181-monarch-butterfly-colony-in-mexico__256_0__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
26362181-monarch-butterfly-colony-in-mexico__256_256__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
26362181-monarch-butterfly-colony-in-mexico__256_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_256__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
26362181-monarch-butterfly-colony-in-mexico__256_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_512__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
26362181-monarch-butterfly-colony-in-mexico__256_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_768__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
26362181-monarch-butterfly-colony-in-mexico__256_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26362181-monarch-butterfly-colony-in-mexico__256_768__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
26362181-monarch-butterfly-colony-in-mexico__256_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__0_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__0_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__0_0__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__0_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__0_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__0_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__0_256__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__0_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
37244739-monarch-butterflies-from-canada-and-us-in-their-wintering-grounds-in-mexico__256_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
